doi	date	title	github
10.1186/s13321-023-00782-0	2023-06-15	Towards a partial order graph for interactive pharmacophore exploration: extraction of pharmacophores activity delta	etienne-lehembre/pharmacophores-activity-delta
10.1186/s13321-023-00765-1	2023-06-14	Bloom filters for molecules	
10.1186/s13321-023-00754-4	2023-06-12	LogD7.4 prediction enhanced by transferring knowledge from chromatographic retention time, microscopic pKa and logP	wangyitian123/rtlogd
10.1186/s13321-023-00767-z	2023-05-31	PMF-CPI: assessing drug selectivity with a pretrained multi-functional model for compoundprotein interactions	guofei-tju/pmf-cpi
10.1186/s13321-023-00758-0	2023-05-27	School of cheminformatics in Latin America	
10.1186/s13321-023-00789-7	2023-05-24	Relative molecule self-attention transformer	gmum/huggingmolecules
10.1186/s13321-023-00760-6	2023-05-23	Iterative machine learning-based chemical similarity search to identify novel chemical inhibitors	keunwan-kist/iter_ecbs_vs
10.1186/s13321-023-00772-2	2023-05-23	EasyDock: customizable and scalable docking tool	
10.1186/s13321-023-00784-y	2023-05-22	An explainability framework for deep learning on chemical reactions exemplified by enzyme-catalysed reaction classification	daenuprobst/theia
10.1186/s13321-023-00776-y	2023-05-16	Determining the parent and associated fragment formulae in mass spectrometry via the parent subformula graph	seanli9604/subformula_graph
10.1186/s13321-023-00745-5	2023-05-11	3DDPDs: describing protein dynamics for proteochemometric bioactivity prediction. A case for (mutant) G protein-coupled receptors	cddleiden/3ddpd
10.1186/s13321-023-00736-6	2023-05-04	Force field-inspired transformer network assisted crystal density prediction for energetic materials	jjx-2000/ffitrnet
10.1186/s13321-023-00755-3	2023-05-02	Exploring the ability of machine learning-based virtual screening models to identify the functional groups responsible for binding	tomhadfield95/synthvs
10.1186/s13321-023-00738-4	2023-05-01	DeepSAT: Learning Molecular Structures from Nuclear Magnetic Resonance Data	mwang87/deepsat
10.1186/s13321-023-00748-2	2023-04-24	pyPept: a python library to generate atomistic 2D and 3D representations of peptides	
10.1186/s13321-023-00718-8	2023-04-17	Biomedical data analyses facilitated by open cheminformatics workflows	
10.1186/s13321-023-00785-x	2023-04-16	NMR shift prediction from small data quantities	stefhk3/nmr-predict-small-quantity
10.1186/s13321-023-00746-4	2023-04-12	Novel multi-objective affinity approach allows to identify pH-specific -opioid receptor agonists	virtualflow/vflp
10.1186/s13321-023-00747-3	2023-04-06	LOGICS: Learning optimal generative distribution for designing de novo chemical structures	gist-csbl/logics
10.1186/s13321-023-00757-1	2023-04-05	Patch seriation to visualize data and model parameters	
10.1186/s13321-023-00733-9	2023-04-04	Explaining compound activity predictions with a substructure-aware loss for graph neural networks	microsoft/molucn
10.1186/s13321-023-00756-2	2023-04-03	rMSIfragment: improving MALDI-MSI lipidomics through automated in-source fragment annotation	gbaquer/rmsifragment
10.1186/s13321-023-00743-7	2023-03-31	Practical guidelines for the use of gradient boosting for molecular property prediction	dahvida/gbm_benchmarking
10.1186/s13321-023-00793-x	2023-03-27	Cobdock: an accurate and practical machine learning-based consensus blind docking method	davidmcdonald1993/cobdockdataset:
10.1186/s13321-023-00751-7	2023-03-27	Extended study on atomic featurization in graph neural networks for molecular property prediction	gmum/graph-representations
10.1186/s13321-023-00735-7	2023-03-23	PINNED: identifying characteristics of druggable human proteins using an interpretable neural network	abbvie-external/predictive-interpretable-neural-network-for-druggability-pinned-
10.1186/s13321-023-00734-8	2023-03-10	The BinDiscover database: a biology-focused meta-analysis tool for 156,000 GCTOF MS metabolome samples	metabolomics-us/bindiscover
10.1186/s13321-023-00705-z	2023-03-02	Correction: Global reactivity models are impactful inindustrial synthesis applications	
10.1186/s13321-023-00737-5	2023-02-17	PyL3dMD: Python LAMMPS 3D molecular descriptors package	panwarp/pyl3dmd:
10.1186/s13321-022-00668-7	2023-02-13	Paths to cheminformatics: Q&A with Phyo Phyo Kyaw Zin	
10.1186/s13321-023-00706-y	2023-02-09	Interpreting vibrational circular dichroism spectra: the Caifactor for absolute configuration with confidence	jonathan-goodman/cai-factor
10.1186/s13321-023-00731-x	2023-02-07	TB-IECS: an accurate machine learning-based scoring function for virtual screening	schrojunzhang/tb-iec-score
10.1186/s13321-023-00723-x	2023-02-05	Merging bioactivity predictions from cell morphology and chemical fingerprint models using similarity to training data	srijitseal/merging_bioactivity_predictions_cellpainting_chemical_structure_similarity
10.1186/s13321-023-00684-1	2023-02-03	A look back at a pilot of the citation typing ontology	
10.1186/s13321-023-00727-7	2023-01-31	RetroRanker: leveraging reaction changes to improve retrosynthesis prediction through re-ranking	catalystforyou/retroranker
10.1186/s13321-023-00742-8	2023-01-27	Integrating synthetic accessibility with AI-based generative drug design	
10.1186/s13321-023-00708-w	2023-01-26	Exploring QSAR models for activity-cliff prediction	markusferdinanddablander/qsar-activity-cliff-experiments
10.1186/s13321-023-00725-9	2023-01-16	Improving the quality of chemical language model outcomes with atom-in-SMILES tokenization	snu-lcbc/atom-in-smiles
10.1186/s13321-023-00726-8	2023-01-12	Tora3D: an autoregressive torsion angle prediction model for molecular 3D conformation generation	zimeizhng/tora3d
10.1186/s13321-023-00715-x	2023-01-03	MetaRF: attention-based random forest for reaction yield prediction with a few trails	nikki0526/metarf
10.1186/s13321-023-00721-z	2022-12-26	DeepAR: a novel deep learning-based hybrid framework for the interpretable prediction of androgen receptor antagonists	plenoi/deepar
10.1186/s13321-023-00710-2	2022-12-23	PROTEOMAS: a workflow enabling harmonized proteomic meta-analysis and proteomic signature mapping	aileenbahl/proteomas
10.1186/s13321-023-00714-y	2022-12-12	LinChemIn: SynGrapha data model and a toolkit to analyze and compare synthetic routes	
10.1186/s13321-023-00712-0	2022-12-07	Harnessing Shannon entropy-based descriptors in machine learning models to enhance the prediction accuracy of molecular properties	shannondescriptors/mlp-based-dnn-models-with-shannon-entropy-framework
10.1186/s13321-023-00691-2	2022-12-06	Force field-inspired molecular representation learning for property prediction	fate1997/ffinet
10.1186/s13321-023-00693-0	2022-12-03	Reconstruction of lossless molecular representations from fingerprints	knu-lcbc/molforge
10.1186/s13321-023-00741-9	2022-11-22	Mass-Suite: a novel open-source python package for high-resolution mass spectrometry data analysis	ximinhu/mass-suite
10.1186/s13321-023-00713-z	2022-11-22	Investigation of chemical structure recognition by encoderdecoder models in learning progress	mizuno-group/2022
10.1186/s13321-023-00695-y	2022-11-18	MAW: the reproducible Metabolome Annotation Workflow for untargeted tandem mass spectrometry	zmahnoor14/maw-benchmark
10.1186/s13321-023-00685-0	2022-11-16	Global reactivity models are impactful in industrial synthesis applications	pauloneves-git/bee
10.1186/s13321-023-00704-0	2022-11-14	GlyLES: Grammar-based Parsing of Glycans from IUPAC-condensed to SMILES	
10.1186/s13321-023-00683-2	2022-11-13	Two years of explicit CiTO annotations	jcheminform/markdown-jcheminf
10.1186/s13321-023-00707-x	2022-11-11	Chemical rules for optimization of chemical mutagenicity via matched molecular pairs analysis and machine learning methods	louchaofeng/ames-mutagenicity-optimization
10.1186/s13321-022-00676-7	2022-11-08	Large-scale prediction of activity cliffs using machine and deep learning methods of increasing complexity	tamshun/large-scale_acprediction
10.1186/s13321-023-00698-9	2022-11-08	ABT-MPNN: an atom-bond transformer-based message-passing neural network for molecular property prediction	lcy02/abt-mpnn
10.1186/s13321-023-00744-6	2022-11-07	Similarity-based pairing improves efficiency of siamese neural networks for regression tasks and uncertainty quantification	astrazeneca/siamese-regression-pairing
10.1186/s13321-023-00678-z	2022-11-06	Critical assessment of synthetic accessibility scores in computer-assisted synthesis planning	grzsko/asap
10.1186/s13321-023-00688-x	2022-11-03	SESNet: sequence-structure feature-integrated deep learning method for data-efficient protein engineering	
10.1186/s13321-022-00653-0	2022-11-02	Correction : Random-forest model fordrugtarget interaction prediction viaKullbackLeibler divergence	
10.1186/s13321-023-00753-5	2022-11-01	Evaluating uncertainty-based active learning for accelerating the generalization of molecular property prediction	pnnl/uqale
10.1186/s13321-022-00664-x	2022-10-21	Visualizing chemical space networks with RDKit and NetworkX	vfscalfani/csn_tutorial
10.1186/s13321-023-00701-3	2022-10-21	PSnpBind-ML: predicting the effect of binding site mutations on protein-ligand binding affinity	bigcat-um/psnpbind-ml-notebook
10.1186/s13321-023-00724-w	2022-10-19	UmetaFlow: an untargeted metabolomics workflow for high-throughput data processing and analysis	
10.1186/s13321-023-00711-1	2022-10-15	MolFilterGAN: a progressively augmented generative adversarial network for triaging AI-designed molecules	molfiltergan/molfiltergan
10.1186/s13321-022-00674-9	2022-10-14	MORTAR: a rich client application for in silico molecule fragmentation	felixbaensch/mortar
10.1186/s13321-023-00696-x	2022-10-13	UnCorrupt SMILES: a novel approach to de novo design	
10.1186/s13321-023-00752-6	2022-10-11	Prediction of organic compound aqueous solubility using machine learning: a comparison study of descriptor-based and fingerprints-based models	arashtayyebi/prediction-of-water-solubility
10.1186/s13321-022-00672-x	2022-10-10	Papyrus: a large-scale curated dataset aimed at bioactivity predictions	cddleiden/papyrus-scripts
10.1186/s13321-023-00690-3	2022-10-10	DFFNDDS: prediction of synergistic drug combinations with dual feature fusion networks	sorachel/dffndds
10.1186/s13321-023-00679-y	2022-10-05	COMA: efficient structure-constrained molecular generation using contractive and margin losses	mathcom/coma
10.1186/s13321-023-00716-w	2022-10-04	Combatting over-specialization bias in growing chemical databases	
10.1186/s13321-022-00673-w	2022-09-30	XSMILES: interactive visualization for molecules, SMILES and XAI attribution scores	bayer-group/xsmiles
10.1186/s13321-022-00660-1	2022-09-26	Dimensionally reduced machine learning model for predicting single component octanolwater partition coefficients	teixeiraresearchlab/mf-logp_development-
10.1186/s13321-023-00680-5	2022-09-25	New algorithms demonstrate untargeted detection of chemically meaningful changing units and formula assignment for HRMS data of polymeric mixtures in the open-source constellation web application	
10.1186/s13321-023-00681-4	2022-09-22	Generative model based on junction tree variational autoencoder for HOMO value prediction and molecular optimization	vldknd/vae_qm9
10.1186/s13321-023-00759-z	2022-09-20	Probabilistic generative transformer language models for generative design of molecules	usccolumbia/gmtransformer
10.1186/s13321-023-00728-6	2022-09-16	ProfhEX: AI-based platform for small molecules liability profiling	
10.1186/s13321-023-00729-5	2022-09-15	A comparison of approaches to accessing existing biological and chemical relational databases via SPARQL	galgonek/r2rms-review
10.1186/s13321-022-00665-w	2022-09-14	ReMODE: a deep learning-based web server for target-specific drug design	micahwang/remode
10.1186/s13321-023-00682-3	2022-09-10	Explainable uncertainty quantifications for deep learning-based molecular property prediction	chuiyang/atom-based_uncertainty_model
10.1186/s13321-023-00709-9	2022-09-03	Large-scale evaluation of k-fold cross-validation ensembles for uncertainty estimation	
10.1186/s13321-023-00689-w	2022-09-02	How to approach machine learning-based prediction of drug/compoundtarget interactions	hubiodatalab/protbench
10.1186/s13321-022-00657-w	2022-09-02	Tuning gradient boosting for imbalanced bioassay modelling with custom loss functions	dahvida/gradient_boosting_clf
10.1186/s13321-022-00655-y	2022-09-01	VGSC-DB: an online database of voltage-gated sodium channels	
10.1186/s13321-022-00663-y	2022-08-31	An algorithm to classify homologous series within compound datasets	adelenelai/onglai-classify-homologues
10.1186/s13321-023-00699-8	2022-08-29	Predicting RP-LC retention indices of structurally unknown chemicals from mass spectrometry data	jimbo994/nl2ri
10.1186/s13321-022-00652-1	2022-08-26	Scalable training of graph convolutional neural networks for fast and accurate predictions of HOMO-LUMO gap in molecules	ornl/hydragnn
10.1186/s13321-023-00692-1	2022-08-17	Graph isomorphism-based algorithm for cross-checking chemical and crystallographic descriptions	
10.1186/s13321-022-00654-z	2022-08-17	One class classification for the detection of 2 adrenergic receptor agonists using single-ligand dynamic interaction data	lit-ccm-lab/ocsvm-adrb2
10.1186/s13321-022-00671-y	2022-08-13	Investigation of the structure-odor relationship using a Transformer model	zhenghah/0607
10.1186/s13321-023-00722-y	2022-08-12	OWSum: algorithmic odor prediction and insight into structure-odorrelationships	pyrfume/pyrfume-data
10.1186/s13321-022-00631-6	2022-08-11	Correction to: Designing optimized drug candidates with Generative Adversarial Network	
10.1186/s13321-022-00661-0	2022-08-09	Chemoinformatics and artificial intelligence colloquium: progress and challenges in developing bioactive compounds	
10.1186/s13321-022-00649-w	2022-08-08	DrugTax: package for drug taxonomy identification and explainable feature extraction	moreiralab/drugtax
10.1186/s13321-022-00628-1	2022-08-02	Paths to Cheminformatics: Q&A with Norberto Snchez-Cruz and Emma Schymanski	
10.1186/s13321-022-00659-8	2022-08-02	MDDI-SCL: predicting multi-type drug-drug interactions via supervised contrastive learning	shenggenglin/mddi-scl
10.1186/s13321-023-00702-2	2022-07-31	Deep generative model for drug design from protein target sequence	viko-3/targetgan
10.1186/s13321-022-00647-y	2022-07-29	Development of machine learning classifiers to predict compound activity on prostate cancer cell lines	
10.1186/s13321-023-00732-w	2022-07-20	A deep learning framework for accurate reaction prediction and its application on high-throughput experimentation data	jidushanbojue/graphrxn
10.1186/s13321-022-00675-8	2022-07-13	Multimodal data fusion for supervised learning-based identification of USP7 inhibitors: a systematic comparison	hovi123123/open-source
10.1186/s13321-022-00641-4	2022-07-05	Robustness under parameter and problem domain alterations of Bayesian optimization methods for chemical reactions	pseudonium/edbo
10.1186/s13321-022-00625-4	2022-07-03	Correction to: Pharmacological affinity fingerprints derived frombioactivity data fortheidentification ofdesigner drugs	
10.1186/s13321-022-00643-2	2022-07-03	Conditional reduction of the loss value versus reinforcement learning for biassing a de-novo drug design generator	amine179/drugdesign
10.1186/s13321-022-00667-8	2022-06-30	Human-in-the-loop assisted de novo molecular design	molecularai/reinvent-hitl
10.1186/s13321-023-00717-9	2022-06-28	qHTSWaterfall: 3-dimensional visualization software for quantitative high-throughput screening (qHTS) data	ncats/qhtswaterfall
10.1186/s13321-023-00686-z	2022-06-19	Efficient virtual high-content screening using a distance-aware transformer model	mmodbasel/highcontentscreening
10.1186/s13321-022-00670-z	2022-06-19	TCMSID: a simplified integrated database for drug discovery from traditional chinese medicine	
10.1186/s13321-023-00697-w	2022-06-10	Notes on molecular fragmentation and parameter settings for a dissipative particle dynamics study of a C10E4/water mixture with lamellar bilayer formation	zielesny/mfsim
10.1186/s13321-022-00637-0	2022-06-10	FPocketWeb: protein pocket hunting in a web browser	
10.1186/s13321-023-00703-1	2022-05-24	VSFlow: an open-source ligand-based virtual screening tool	czodrowskilab/vsflow
10.1186/s13321-022-00677-6	2022-05-17	Development of an open-source software for isomer enumeration	csms-ethz/combiff
10.1186/s13321-023-00720-0	2022-05-14	In-silico target prediction by ensemble chemogenomic model based on multi-scale information of chemical structures and protein sequences	
10.1186/s13321-022-00636-1	2022-05-13	Machine learning for identification of silylated derivatives from mass spectra	aalto-ics-kepaco/ppiprediction-w-iokr-mkl
10.1186/s13321-023-00719-7	2022-05-09	Adaptive language model training for molecular design	
10.1186/s13321-022-00642-3	2022-05-08	Review of techniques and models used in optical chemical structure recognition in images and scanned documents	bradleyemi/chemtype2
10.1186/s13321-023-00700-4	2022-05-05	Double-head transformer neural network for molecular property prediction	songyuanbing6/dhtnn
10.1186/s13321-022-00617-4	2022-05-04	Commentary: the first twelve years of the Journal of Cheminformatics	
10.1186/s13321-022-00669-6	2022-04-28	Principles and requirements for nanomaterial representations to facilitate machine processing and cooperation with nanoinformatics tools	
10.1186/s13321-022-00627-2	2022-04-25	LigninGraphs: lignin structure determination with multiscale graph modeling	vlachosgroup/ligningraphs
10.1186/s13321-022-00597-5	2022-04-25	Diversifying cheminformatics	
10.1186/s13321-022-00620-9	2022-04-20	DECIMERhand-drawn molecule images dataset	
10.1186/s13321-022-00648-x	2022-04-15	Improving VAE based molecular representations for compound property prediction	znavoyan/vae-embeddings
10.1186/s13321-022-00646-z	2022-04-14	Augmented Hill-Climb increases reinforcement learning efficiency for language-based de novo molecule generation	morgancthomas/smiles-rnn
10.1186/s13321-022-00658-9	2022-04-11	Naturally-meaningful and efficient descriptors: machine learning of material properties based on robust one-shot ab initio descriptors	sheriftawfikabbas/crystalfeatures
10.1186/s13321-023-00694-z	2022-04-09	DrugEx v3: scaffold-constrained drug design with graph transformer-based reinforcement learning	cddleiden/drugex
10.1186/s13321-022-00626-3	2022-04-07	In silico prediction of UGT-mediated metabolism in drug-like molecules via graph neural network	mengtinghuang/meta-ugt
10.1186/s13321-022-00633-4	2022-04-04	Chemical named entity recognition in the texts of scientific publications using the nave Bayes classifier approach	olga-tarasova/cner
10.1186/s13321-022-00610-x	2022-04-01	Chemical reaction network knowledge graphs: the OntoRXN ontology	
10.1186/s13321-022-00611-w	2022-04-01	Analysis of the benefits of imputation models over traditional QSAR models for toxicity prediction	mowal/imputation_paper
10.1186/s13321-022-00645-0	2022-03-21	Implementation of a soft grading system for chemistry in a Moodle plugin	laboratoire-de-chemoinformatique/moodle-qtype_molsimilarity
10.1186/s13321-022-00639-y	2022-03-18	Predicting the mutation effects of proteinligand interactions via end-point binding free energy calculations: strategies and analyses	yuyangniuer/mutation
10.1186/s13321-022-00640-5	2022-03-18	TUCAN: A molecular identifier and descriptor applicable to the whole periodic table from hydrogen to oganesson	tucan-nest/tucan
10.1186/s13321-022-00650-3	2022-03-16	A fingerprints based molecular property prediction method using the BERT model	fanganpai/fp2bert
10.1186/s13321-022-00585-9	2022-03-14	Correction to: TorsiFlex: an automatic generator of torsional conformers. Application to the twenty proteinogenic amino acids	
10.1186/s13321-023-00687-y	2022-03-10	MDSuite: comprehensive post-processing tool for particle simulations	zincware/mdsuite
10.1186/s13321-022-00612-9	2022-03-07	BitterMatch: recommendation systems for matching molecules with bitter taste receptors	yulisl/bittermatch
10.1186/s13321-022-00623-6	2022-03-01	Designing optimized drug candidates with Generative Adversarial Network	larngroup/gan-drug-generator
10.1186/s13321-022-00609-4	2022-02-28	RanDepict: Random chemical structure depiction generator	obrink/randepict
10.1186/s13321-022-00656-x	2022-02-24	Scaffold Generator: a Java library implementing molecular scaffold functionalities in the Chemistry Development Kit (CDK	julian-z98/scaffoldgenerator
10.1186/s13321-022-00629-0	2022-02-15	Confidence bands and hypothesis tests for hit enrichment curves	jrash/chemmodlab
10.1186/s13321-022-00644-1	2022-02-14	Random-forest model for drugtarget interaction prediction via KullbackLeibler divergence	college-of-pharmacy-gachon-university/kld2
10.1186/s13321-022-00666-9	2022-02-11	Predicting chemical structure using reinforcement learning with a stack-augmented conditional variational autoencoder	hwanheekim813/stack_cvae
10.1186/s13321-022-00624-5	2022-02-09	SwinOCSR: end-to-end optical chemical structure recognition using a Swin Transformer	suanfaxiaohuo/swinocsr
10.1186/s13321-022-00606-7	2022-02-04	canSAR chemistry registration and standardization pipeline	
10.1186/s13321-022-00607-6	2022-02-02	Pharmacological affinity fingerprints derived from bioactivity data for the identification of designer drugs	nina23bom/nps-pharmacological-profile-fingerprint-prediction-using-ml
10.1186/s13321-022-00594-8	2022-01-12	Improving the performance of models for one-step retrosynthesis through re-ranking	coleygroup/rxn-ebm
10.1186/s13321-022-00634-3	2022-01-10	Integrating concept of pharmacophore with graph neural networks for chemical property prediction and interpretation	chloekong/rg-mpnn
10.1186/s13321-022-00616-5	2022-01-08	PIKAChU: a Python-based informatics kit for analysing chemical units	bthedragonmaster/pikachu
10.1186/s13321-022-00621-8	2022-01-05	What makes a reaction network chemical?	
10.1186/s13321-022-00605-8	2021-12-30	Efficient 3D conformer generation of cyclic peptides formed by a disulfide bond	
10.1186/s13321-022-00603-w	2021-12-29	Off-targetP ML: an open source machine learning framework for off-target panel safety assessment of small molecules	pharminfovienna/off-target-p-ml
10.1186/s13321-022-00615-6	2021-12-27	KNIME workflow for retrieving causal drug and protein interactions, building networks, and performing topological enrichment analysis demonstrated by a DILI case study	
10.1186/s13321-022-00635-2	2021-12-26	Using Jupyter Notebooks for re-training machine learning models	pharminfovienna/retraining_notebook
10.1186/s13321-022-00593-9	2021-12-17	A multitask GNN-based interpretable model for discovery of selective JAK inhibitors	awslabs/dgl-livesci
10.1186/s13321-022-00588-6	2021-12-14	Galaxy workflows for fragment-based virtual screening: a case study on the SARS-CoV-2 main protease	
10.1186/s13321-022-00598-4	2021-12-13	Systemic evolutionary chemical space exploration for drug discovery	
10.1186/s13321-022-00638-z	2021-12-11	From theory to experiment: transformer-based generation enables rapid discovery of novel reactions	hongliangduan/from-theory-to-experiment-transformer-based-generation-enables-rapid-discovery-of-novel-reactions
10.1186/s13321-022-00600-z	2021-12-07	ChemInformatics Model Explorer (CIME): exploratory analysis of chemical model explanations	jku-vds-lab/cime
10.1186/s13321-022-00632-5	2021-12-07	SimVec: predicting polypharmacy side effects for new drugs	jbr-ai-labs/simvec
10.1186/s13321-022-00604-9	2021-12-06	Surge: a fast open-source chemical graph generator	
10.1186/s13321-022-00602-x	2021-11-24	Machine learning to predict metabolic drug interactions related to cytochrome P450 isozymes	
10.1186/s13321-022-00599-3	2021-11-24	Transformer-based molecular optimization beyond matched molecular pairs	molecularai/deep-molecular-optimization
10.1186/s13321-022-00630-7	2021-11-19	Machine intelligence-driven framework for optimized hit selection in virtual screening	
10.1186/s13321-022-00614-7	2021-11-12	European Registry of Materials: global, unique identifiers for (undisclosed) nanomaterials	nanocommons/identifiers
10.1186/s13321-022-00582-y	2021-11-11	LEADD: Lamarckian evolutionary algorithm for de novo drug design	uamcantwerpen/leadd
10.1186/s13321-022-00622-7	2021-11-11	Predicting protein network topology clusters from chemical structure using deep learning	pharmbio/dl_quantmap
10.1186/s13321-022-00601-y	2021-11-03	Explaining and avoiding failure modes in goal-directed generation of small molecules	sanofi-public/idd-papers-avoiding_failure_modes
10.1186/s13321-022-00608-5	2021-10-29	InflamNat: web-based database and predictor of anti-inflammatory natural products	ljatynu/mtt
10.1186/s13321-022-00590-y	2021-10-26	MolData, a molecular benchmark for disease and target based machine learning	transilico/moldata
10.1186/s13321-022-00613-8	2021-10-26	Probabilistic metabolite annotation using retention time prediction and meta-learned projections	constantino-garcia/cmmrt)
10.1186/s13321-022-00592-w	2021-10-14	Decomposing compounds enables reconstruction of interaction fingerprints for structure-based drug screening	madasme/frinrecon
10.1186/s13321-022-00618-3	2021-10-14	AMADAR: a python-based package for large scale prediction of DielsAlder transition state geometries and IRC path analysis	
10.1186/s13321-021-00577-1	2021-10-08	Processing binding data using an open-source workflow	loicsamuel/knime-tsa-analysis
10.1186/s13321-022-00589-5	2021-09-25	DeSIDE-DDI: interpretable prediction of drug-drug interactions using drug-induced gene expressions	gist-csbl/deside-ddi
10.1186/s13321-022-00591-x	2021-09-24	ELECTRA-DTA: a new compound-protein binding affinity prediction model based on the contextualized sequence encoding	
10.1186/s13321-022-00586-8	2021-09-23	Reproducible untargeted metabolomics workflow for exhaustive MS2 data acquisition of MS1 features	yufree/pmdda
10.1186/s13321-022-00619-2	2021-09-17	Bloodbrain barrier penetration prediction enhanced by uncertainty estimation	tongxiaochu/bbb_uncertainty_project
10.1186/s13321-022-00596-6	2021-08-30	Deep learning-driven prediction of drug mechanism of action from large-scale chemical-genetic interaction profiles	lcy02/mtb_cgip_pred
10.1186/s13321-021-00566-4	2021-08-25	Molecular generation by Fast Assembly of (Deep)SMILES fragments	unixjunkie/fasmifra
10.1186/s13321-021-00567-3	2021-08-17	Unexpected similarity between HIV-1 reverse transcriptase and tumor necrosis factor binding sites revealed by computer vision	kimeguida/procare_tnf
