doi	date	title	github
10.1186/s12859-025-06096-2	2024-10-31	A clinical knowledge graph-based framework to prioritize candidate genes for facilitating diagnosis of Mendelian diseases and rare genetic conditions	dimi-lab/ppar
10.1186/s12859-025-06100-9	2024-10-31	Uncovering latent biological function associations through gene set embeddings	yuhang-aw/msigdb_mining
10.1186/s12859-025-06129-w	2024-10-30	Fast noisy long read alignment with multi-level parallelism	nudt-bioinfo/parahat
10.1186/s12859-025-06119-y	2024-10-30	PRED-LD: efficient imputation of GWAS summary statistics	pbagos/pred-ld
10.1186/s12859-024-06032-w	2024-10-30	CDPMF-DDA: contrastive deep probabilistic matrix factorization for drug-disease association prediction	
10.1186/s12859-025-06114-3	2024-10-25	Bayesian compositional generalized linear mixed models for disease prediction using microbiome data	li-zhang28/bcglmm
10.1186/s12859-025-06050-2	2024-10-22	BioLake: an RNA expression analysis framework for prostate cancer biomarker powered by data lakehouse	
10.1186/s12859-025-06040-4	2024-10-22	MDFGNN-SMMA: prediction of potential small molecule-miRNA associations based on multi-source data fusion and graph neural networks	mdfgnn/mdfgnn-smma
10.1186/s12859-025-06079-3	2024-10-21	PyPropel: a Python-based tool for efficiently processing and characterising protein data	2003100127/pypropel
10.1186/s12859-025-06113-4	2024-10-18	DTreePred: an online viewer based on machine learning for pathogenicity prediction of genomic variants	danhfg/projetos-bioinfo-front-end
10.1186/s12859-025-06091-7	2024-10-17	GoldPolish-target: targeted long-read genome assembly polishing	
10.1186/s12859-025-06067-7	2024-10-17	Omilayers: a Python package for efficient data management to support multi-omic analysis	dkioroglou/omilayers
10.1186/s12859-025-06065-9	2024-10-17	Using individual barcodes to increase quantification power of massively parallel reporter assays	kircherlab/bcalm
10.1186/s12859-024-06017-9	2024-10-14	An effective heuristic for developing hybrid feature selection in high dimensional and low sample size datasets	
10.1186/s12859-024-06026-8	2024-10-10	Joint embeddingclassifier learning for interpretable collaborative filtering	recess-eu-project/stanscofi
10.1186/s12859-025-06108-1	2024-10-08	DeBasher: a flow-based programming bash extension for the implementation of complex and interactive workflows with stateful processes	daormar/debasher
10.1186/s12859-025-06078-4	2024-10-08	Analyzing microbiome data with taxonomic misclassification using a zero-inflated Dirichlet-multinomial model	
10.1186/s12859-025-06061-z	2024-10-07	scFTAT: a novel cell annotation method integrating FFT and transformer	gladex/scftat
10.1186/s12859-024-06003-1	2024-10-04	Spall: accurate and robust unveiling cellular landscapes from spatially resolved transcriptomics data using a decomposition network	honchkrow/sstd
10.1186/s12859-024-05998-x	2024-10-02	MISDP: multi-task fusion visit interval for sequential diagnosis prediction	
10.1186/s12859-025-06103-6	2024-10-02	ChIPbinner: an R package for analyzing broad histone marks binned in uniform windows from ChIP-Seq or CUT&RUN/TAG data	padilr1/chipbinner_database
10.1186/s12859-025-06070-y	2024-09-29	goloco: a web application to create genome scale information from surprisingly small experiments	pritchardlabatpsu/golocohttps:
10.1186/s12859-025-06092-6	2024-09-27	DconnLoop: a deep learning model for predicting chromatin loops based on multi-source data integration	kuikui-c/dconnloop
10.1186/s12859-025-06060-0	2024-09-27	CellMAP: an open-source software tool to batch-process cell topography and stiffness maps collected with an atomic force microscope	
10.1186/s12859-025-06076-6	2024-09-27	Estimation of mosaic loss of Ychromosome cell fraction with genotyping arrays lacking coverage in the pseudoautosomal region	
10.1186/s12859-025-06066-8	2024-09-26	Instance-level semantic segmentation of nuclei based on multimodal structure encoding	
10.1186/s12859-025-06104-5	2024-09-21	Minimum uncertainty as Bayesian network model selection principle	
10.1186/s12859-024-06025-9	2024-09-19	Tisslet tissues-based learning estimation for transcriptomics	
10.1186/s12859-025-06086-4	2024-09-19	Enhancing biomedical named entity recognition with parallel boundary detection and category classification	
10.1186/s12859-025-06089-1	2024-09-18	Dual-approach co-expression analysis framework (D-CAF) enables identification of novel circadian co-regulation from multi-omic timeseries data	chuahresearchgroup/dcaf
10.1186/s12859-024-06001-3	2024-09-16	Loop-mediated isothermal amplification assays for the detection of antimicrobial resistance elements in Vibrio cholera	biolaboro/pset
10.1186/s12859-024-06024-w	2024-09-16	Adaptive deep feature representation learning for cross-subject EEG decoding	
10.1186/s12859-025-06082-8	2024-09-14	Bacterial network for precise plant stress detection and enhanced crop resilience	shakeel-cn/e
10.1186/s12859-024-05978-1	2024-09-13	Deep-m5U: a deep learning-based approach for RNA 5-methyluridine modification prediction using optimized feature integration	salman-khan-mrd/deep-m5u
10.1186/s12859-024-05992-3	2024-09-10	TreeWave: command line tool for alignment-free phylogeny reconstruction based on graphical representation of DNA sequences and genomic signal processing	nasmab/treewave
10.1186/s12859-024-06010-2	2024-09-10	CNVizarda lightweight streamlit application for an interactive analysis of copy number variants	ihggm-aachen/cnvand
10.1186/s12859-024-06029-5	2024-09-08	Zim4rv: an R package to modeling zero-inflated count phenotype on regional-based rare variants	fanx0037/zim4rv
10.1186/s12859-025-06056-w	2024-09-05	Transfer learning for accelerated failure time model with microarray data	yuzhengyang-cueb/trans-aft
10.1186/s12859-025-06068-6	2024-09-05	Mammalian piRNA target prediction using a hierarchical attention model	sofiatianjiaozhang/pirnatarget
10.1186/s12859-024-05905-4	2024-09-03	Correction: Advancing drugtarget interaction prediction: a comprehensive graph-based approach integrating knowledge graph embedding and ProtBert pretraining	
10.1186/s12859-025-06081-9	2024-09-02	Comparative Assessment of Protein Large Language Models for Enzyme Commission Number Prediction	jcapels/ec_numbers_prediction
10.1186/s12859-025-06038-y	2024-09-02	Development of a TSR-based method for understanding structural relationships of cofactors and local environments in photosystem I	wuxu26/psi_tsr
10.1186/s12859-024-06030-y	2024-08-23	DFAST_QC: quality assessment and taxonomic identification tool for prokaryotic Genomes	nigyta/dfast_qc
10.1186/s12859-024-05972-7	2024-08-22	Predicting viral proteins that evade the innate immune system: a machine learning-based immunoinformatics tool	jfbldevs/virushound-ii
10.1186/s12859-025-06033-3	2024-08-21	UniAMP: enhancing AMP prediction using deep neural networks with inferred information of peptides	quietbamboo/uniamp
10.1186/s12859-024-05994-1	2024-08-20	DNEA: an R package for fast and versatile data-driven network analysis of metabolomics data	karnovsky-lab/dnea
10.1186/s12859-024-05892-6	2024-08-19	Correction: Enhancing SNV identification in whole-genome sequencing data through the incorporation of known genetic variants into the minimap2 index	
10.1186/s12859-024-05961-w	2024-08-18	Prediction of antibody-antigen interaction based on backbone aware with invariant point attention	gmthu66/abagipa
10.1186/s12859-025-06048-w	2024-08-15	Metadag: a web tool to generate and analyse metabolic networks	
10.1186/s12859-025-06071-x	2024-08-15	HGATLink: single-cell gene regulatory network inference via the fusion of heterogeneous graph attention networks and transformer	aniani6aa/hgatlink
10.1186/s12859-025-06069-5	2024-08-14	Conditional similarity triplets enable covariate-informed representations of single-cell data	chencookie/cytocoset
10.1186/s12859-025-06057-9	2024-08-13	Hybrid generative adversarial network based on frequency and spatial domain for histopathological image synthesis	basveeling/pcam
10.1186/s12859-025-06105-4	2024-08-13	Towards a standard benchmark for phenotype-driven variant and gene prioritisation algorithms: PhEval-Phenotypic inference Evaluation framework	monarch-initiative/pheval
10.1186/s12859-024-05966-5	2024-08-13	Abstraction-based segmental simulation of reaction networks using adaptive memoization	
10.1186/s12859-024-05984-3	2024-08-12	MTAFDTA: multi-type attention fusion network for drugtarget affinity prediction	shly-lab/mtaf-dta
10.1186/s12859-025-06073-9	2024-08-12	HarmonizR: blocking and singular feature data adjustment improve runtime efficiency and data preservation	hsu-hpc/harmonizr
10.1186/s12859-024-05982-5	2024-08-11	PIPETS: a statistically informed, gene-annotation agnostic analysis method to study bacterial termination using 3-end sequencing	qfurumo/pipets
10.1186/s12859-024-06002-2	2024-08-11	Robust phylogenetic tree-based microbiome association test using repeatedly measured data for composition bias	
10.1186/s12859-025-06117-0	2024-08-09	Improving data interpretability with new differential sample variance gene set tests	
10.1186/s12859-025-06102-7	2024-08-09	Prediction of drugs anatomical therapeutic chemical (ATC) code by constructing biological profiles of ATC codes	lywhere/pdatc-ncpmkl-updated
10.1186/s12859-024-05996-z	2024-08-09	Informeasure: an R/bioconductor package for quantifying nonlinear dependence between variables in biological networks from an information theory perspective	
10.1186/s12859-024-05981-6	2024-08-08	ClassifieR 2.0: expanding interactive gene expression-based stratification to prostate and high-grade serous ovarian cancer	
10.1186/s12859-024-05868-6	2024-08-07	Correction: Holomics  a userfriendly R shiny application for multiomics data integration and analysis	
10.1186/s12859-024-05985-2	2024-08-06	DeepMiRBP: a hybrid model for predicting microRNA-protein interactions based on transfer learning and cosine similarity	sbbi-unl/deepmirbp
10.1186/s12859-024-05968-3	2024-08-06	BASE: a web service for providing compound-protein binding affinity prediction datasets with reduced similarity bias	hyojin0912/hj-dta-databias
10.1186/s12859-024-06021-z	2024-08-01	DTI-MHAPR: optimized drug-target interaction prediction via PCA-enhanced features and heterogeneous graph attention networks	yang06092/mhapr-dti
10.1186/s12859-024-05973-6	2024-07-31	Graph-based machine learning model for weight prediction in proteinprotein networks	
10.1186/s12859-024-05969-2	2024-07-29	Non parametric differential network analysis: a tool for unveiling specific molecular signatures	
10.1186/s12859-025-06074-8	2024-07-24	TRain: T-cell receptor automated immunoinformatics	aseamann/train
10.1186/s12859-025-06045-z	2024-07-24	Accurate assembly of full-length consensus for viral quasispecies	cbg-ethz/5-virus-mix
10.1186/s12859-024-05960-x	2024-07-22	Mining contextually meaningful subgraphs from a vertex-attributed graph	
10.1186/s12859-024-06019-7	2024-07-21	SequenceCraft: machine learning-based resource for exploratory analysis of RNA-cleaving deoxyribozymes	generativemolmachines/dnazyme
10.1186/s12859-024-05975-4	2024-07-21	Robust double machine learning model with application to omics data	
10.1186/s12859-024-05983-4	2024-07-18	Enhanced prediction of hemolytic activity in antimicrobial peptides using deep learning-based sequence analysis	mohamedelhakim/hemolytic-end-to-end-architecture
10.1186/s12859-024-05989-y	2024-07-18	MoAGL-SA: a multi-omics adaptive integration method with graph learning and self attention for cancer subtype classification	gpxzmu/moagl-sa
10.1186/s12859-024-05936-x	2024-07-18	NeuroimaGene: an R package for assessing the neurological correlates of genetically regulated gene expression	xbledsoe/neuroimagene_r
10.1186/s12859-024-05962-9	2024-07-16	GPCR-BSD: a database of binding sites of human G-protein coupled receptors under diverse states	
10.1186/s12859-025-06041-3	2024-07-15	Correcting scale distortion in RNA sequencing data	christhron/correcting_rsem_scale_distortion
10.1186/s12859-024-06004-0	2024-07-14	NERVE 2.0: boosting the new enhanced reverse vaccinology environment via artificial intelligence and a user-friendly web interface	nerve-bio/nerve
10.1186/s12859-024-05917-0	2024-07-12	PSSM-Sumo: deep learning based intelligent model for prediction of sumoylation sites using discriminative features	salman-khan-mrd/sumo
10.1186/s12859-024-05907-2	2024-07-11	HiCMC: High-Efficiency Contact Matrix Compressor	sxperfect/hicmc
10.1186/s12859-025-06077-5	2024-07-08	BHCox: Bayesian heredity-constrained Cox proportional hazards models for detecting gene-environment interactions	sunna-bayesian/bhcox
10.1186/s12859-025-06055-x	2024-07-07	A Dirichlet-multinomial mixed model for determining differential abundance of mutational signatures	lm687/compsign-results
10.1186/s12859-024-05987-0	2024-07-05	MGATAF: multi-channel graph attention network with adaptive fusion for cancer-drug response prediction	
10.1186/s12859-024-05999-w	2024-07-04	Prediction of miRNA-disease associations based on PCA and cascade forest	zhtdbobo/pcacfmda
10.1186/s12859-024-05872-w	2024-07-04	Feature selection followed by a novel residuals-based normalization that includes variance stabilization simplifies and improves single-cell gene expression analysis	amartya101/piccolopaperdata
10.1186/s12859-024-05991-4	2024-07-04	A comprehensive survey of scoring functions for protein docking models	
10.1186/s12859-024-05977-2	2024-07-03	Human limits in machine learning: prediction of potato yield and disease using soil microbiome data	solislemuslab/soil-microbiome-nn
10.1186/s12859-024-05951-y	2024-06-29	Biomedical relation extraction method based on ensemble learning and attention mechanism	gs233/biomedical
10.1186/s12859-024-06022-y	2024-06-27	BiomiX, a user-friendly bioinformatic tool for democratized analysis and integration of multiomics data	ixi-97/biomix2
10.1186/s12859-024-05927-y	2024-06-26	scBubbletree: computational approach for visualization of single cell RNA-seq data	snaketron/scbubbletree_paper_data
10.1186/s12859-024-05971-8	2024-06-25	Conformal novelty detection for multiple metabolic networks	arianemarandon/godconf
10.1186/s12859-024-05970-9	2024-06-25	Improving crop production using an agro-deep learning framework in precision agriculture	
10.1186/s12859-024-05958-5	2024-06-25	PangeBlocks: customized construction of pangenome graphs via maximal blocks	algolab/pangeblocks
10.1186/s12859-024-05828-0	2024-06-25	Correction: Improving somatic exome sequencing performance by biological replicates	
10.1186/s12859-024-05946-9	2024-06-25	Shrinkage estimation of gene interaction networks in single-cell RNA sequencing data	calathea24/zinbgraphicalmodel
10.1186/s12859-024-05963-8	2024-06-24	Closha 2.0: a bio-workflow design system for massive genome data analysis on high performance cluster infrastructure	kobic-dev/closha
10.1186/s12859-024-06028-6	2024-06-24	Predicting drug combination side effects based on a metapath-based heterogeneous graph neural network	wangqi27/mhgnn
10.1186/s12859-025-06036-0	2024-06-24	CompreGenome: a command-line tool for genomic diversity estimation in prokaryotes and eukaryotes	gmoro-bioecopest/comparegenome
10.1186/s12859-024-05995-0	2024-06-23	The evaluation of transcription factor binding site prediction tools in human and Arabidopsis genomes	
10.1186/s12859-024-05980-7	2024-06-21	A mapping-free natural language processing-based technique for sequence search in nanopore long-reads	zaedpolsl/nomapper
10.1186/s12859-024-06011-1	2024-06-09	FPGA-based accelerator for adaptive banded event alignment in nanopore sequencing data analysis	fengyilin118/abea-hls
10.1186/s12859-024-05964-7	2024-06-08	MIPPIS: proteinprotein interaction site prediction network with multi-information fusion	dky121212/mippis
10.1186/s12859-024-06008-w	2024-06-07	Biomedical named entity recognition using improved green anaconda-assisted Bi-GRU-based hierarchical ResNet model	
10.1186/s12859-024-05919-y	2024-06-06	Cortexa: a comprehensive resource for studying gene expression and alternative splicing in the murine brain	s-weissbach/cortexa_splicepca_example
10.1186/s12859-024-06020-0	2024-06-06	TopoQual polishes circular consensus sequencing data and accurately predicts quality scores	lorewar2/topoqual
10.1186/s12859-024-05940-1	2024-06-06	Tabular deep learning: a comparative study applied to multi-task genome-wide prediction	angelyhf/tabular-deep-learning-for-gwp
10.1186/s12859-024-06005-z	2024-06-05	Solu: a cloud platform for real-time genomic pathogen surveillance	
10.1186/s12859-024-06000-4	2024-06-03	MinLinMo: a minimalist approach to variable selection and linear model prediction	jonbohlin/minlinmo
10.1186/s12859-024-05933-0	2024-06-01	Modelling cell type-specific lncRNA regulatory network in autism with Cycle	chenchenxiong/cycle
10.1186/s12859-024-06009-9	2024-06-01	Novel artificial intelligence-based identification of drug-gene-disease interaction using protein-protein interaction	tagtag/tdbasedufeppi
10.1186/s12859-024-06007-x	2024-05-31	Not seeing the trees for the forest. The impact of neighbours on graph-based configurations in histopathology	olgarithmics/kmil_bmc
10.1186/s12859-024-06016-w	2024-05-29	Deep learning-based metabolomics data study of prostate cancer	
10.1186/s12859-025-06052-0	2024-05-26	HDN-DDI: a novel framework for predicting drug-drug interactions using hierarchical molecular graphs and enhanced dual-view representation learning	jcsun-00/hdn-ddi
10.1186/s12859-024-06015-x	2024-05-26	A graph neural network approach for hierarchical mapping of breast cancer protein communities	
10.1186/s12859-025-06039-x	2024-05-24	ClearFinder: a Python GUI for annotating cells in cleared mouse brain	stegiopast/clearfinder
10.1186/s12859-024-05865-9	2024-05-23	HEROIC: a platform for remote collection of electroencephalographic data using consumer-grade brain wearables	diamandis-lab/heroic
10.1186/s12859-024-05948-7	2024-05-21	mulea: An R package for enrichment analysis using multiple ontologies and empirical false discovery rate	eltebioinformatics/mulea;
10.1186/s12859-024-05887-3	2024-05-21	HPC-T-Annotator: an HPC tool for de novo transcriptome assembly annotation	
10.1186/s12859-025-06034-2	2024-05-18	CamITree: a streamlined software for phylogenetic analysis of viral and mitochondrial genomes	
10.1186/s12859-024-05931-2	2024-05-17	DiscovEpi: automated whole proteome MHC-I-epitope prediction and visualization	cmahncke/discovepi
10.1186/s12859-024-05904-5	2024-05-17	MSH-DTI: multi-graph convolution with self-supervised embedding and heterogeneous aggregation for drug-target interaction prediction	beiyi0719/msh-dti
10.1186/s12859-025-06035-1	2024-05-17	getphylo: rapid and automatic generation of multi-locus phylogenetic trees	drboothtj/getphylo
10.1186/s12859-024-05941-0	2024-05-16	Plaseval: a framework for comparing and evaluating plasmid detection tools	acme92/plaseval
10.1186/s12859-024-05956-7	2024-05-15	REDalign: accurate RNA structural alignment using residual encoder-decoder network	aky3100/redalign
10.1186/s12859-024-05790-x	2024-05-14	Correction: NanoBERTa-ASP: predicting nanobody paratope based on a pretrained RoBERTa model	
10.1186/s12859-024-05835-1	2024-05-14	iGenSig-Rx: an integral genomic signature based white-box tool for modeling cancer therapeutic responses using multi-omics data	wangxlab/igensig-rx
10.1186/s12859-024-06031-x	2024-05-13	A multi-stage weakly supervised design for spheroid segmentation to explore mesenchymal stem cell differentiation dynamics	farzin23i/segmentation
10.1186/s12859-024-05921-4	2024-05-10	BayesianSSA: a Bayesian statistical model based on structural sensitivity analysis for predicting responses to enzyme perturbations in metabolic networks	shion-hosoda-hitachi/bayesianssa
10.1186/s12859-025-06042-2	2024-05-09	Marigold: a machine learning-based web app for zebrafish pose tracking	downeslab/marigold
10.1186/s12859-024-05915-2	2024-05-08	Crossfeat: a transformer-based cross-feature learning model for predicting drug side effect frequency	dmcb-gist/crossfeat
10.1186/s12859-024-05930-3	2024-05-08	SpeciateIT and vSpeciateDB: novel, fast, and accurate per sequence 16S rRNA gene taxonomic classification of vaginal microbiota	ravel-laboratory/speciateit
10.1186/s12859-024-05947-8	2024-05-07	SimplySmart_v1, a new tool for the analysis of DNA damage optimized in primary neuronal cultures	annaekonopka/simplysmart_v1_materials
10.1186/s12859-024-05906-3	2024-05-06	Mouse embryo CoCoPUTs: novel murine transcriptomic-weighted usage website featuring multiple strains, tissues, and stages	
10.1186/s12859-024-06006-y	2024-05-03	Optimizing sequence data analysis using convolution neural network for the prediction of CNV bait positions	
10.1186/s12859-024-05922-3	2024-05-03	altAFplotter: a web app for reliable UPD detection in NGS diagnostics	
10.1186/s12859-024-05928-x	2024-05-01	Mugen-UMAP: UMAP visualization and clustering of mutated genes in single-cell DNA sequencing data	tengchn/mugen-umap
10.1186/s12859-024-05997-y	2024-05-01	Piikun: an information theoretic toolkit for analysis and visualization of species delimitation metric space	
10.1186/s12859-024-05849-9	2024-04-29	iProL: identifying DNA promoters from sequence information based on Longformer pre-trained model	20032303092/iprol
10.1186/s12859-024-05902-7	2024-04-26	Optimizing biomedical information retrieval with a keyword frequency-driven prompt enhancement strategy	wasimaftab/weiseeule-localhost
10.1186/s12859-024-05918-z	2024-04-25	Taxanorm: a novel taxa-specific normalization approach for microbiome data	wangziyue57/taxanorm
10.1186/s12859-024-05860-0	2024-04-24	VCF observer: a user-friendly software tool for preliminary VCF file analysis and comparison	mbaysanlab/vcf-observer
10.1186/s12859-024-05873-9	2024-04-23	SAFER: sub-hypergraph attention-based neural network for predicting effective responses to dose combinations	tangyiching/safer
10.1186/s12859-024-05864-w	2024-04-20	DGCPPISP: a PPI site prediction model based on dynamic graph convolutional network and two-stage transfer learning	mrfengdashen/dgcppisp
10.1186/s12859-024-05866-8	2024-04-19	Predicting stroke occurrences: a stacked machine learning approach with feature selection and data preprocessing	
10.1186/s12859-024-05884-6	2024-04-19	StackedEnC-AOP: prediction of antioxidant proteins using transform evolutionary and sequential features based multi-scale vector with stacked ensemble learning	shahidawkum/stackedenc-aop
10.1186/s12859-024-05858-8	2024-04-18	PyChelator: a Python-based Colab and web application for metal chelator calculations	amrutelab/pychelator
10.1186/s12859-025-06139-8	2024-04-18	PtWAVE: a high-sensitive deconvolution software of sequencing trace for the detection of large indels in genome editing	kazukinakamae/editingseq_decomposition_hiroshimauniv_ptbio_benchmarking_dataset
10.1186/s12859-024-05861-z	2024-04-16	Hybrid fragment-SMILES tokenization for ADMET prediction in drug discovery	pixelatory/hybridfragmenttokenization
10.1186/s12859-024-05885-5	2024-04-14	HerpesDRG: a comprehensive resource for human herpesvirus antiviral drug resistance genotyping	
10.1186/s12859-024-05897-1	2024-04-13	A novel approach to the analysis of Overall Survival (OS) as response with Progression-Free Interval (PFI) as condition based on the RNA-seq expression data in The Cancer Genome Atlas (TCGA	1linbo/survival
10.1186/s12859-025-06047-x	2024-04-12	scSMD: a deep learning method for accurateclustering of single cells based on auto-encoder	xiaoxuc/scsmd
10.1186/s12859-024-06012-0	2024-04-09	GLiDe: a web-based genome-scale CRISPRi sgRNA design tool for prokaryotes	falconxtj/glide
10.1186/s12859-024-05974-5	2024-04-09	DeepBP: Ensemble deep learning strategy for bioactive peptide prediction	zhou-jianren/bioactive-peptides
10.1186/s12859-024-05976-3	2024-04-07	Drugtarget interaction prediction by integrating heterogeneous information with mutual attention network	
10.1186/s12859-024-05900-9	2024-04-07	Smccnet 2.0: a comprehensive tool for multi-omics network inference with shiny visualization	liux4283/smccnet2
10.1186/s12859-024-05822-6	2024-04-07	Integrating transformers and many-objective optimization for drug design	pixelatory/manyobjectivedrugdesign
10.1186/s12859-024-05925-0	2024-04-07	A multi-task graph deep learning model to predict drugs combination of synergy and sensitivity scores	samar-monem/multicomb
10.1186/s12859-024-05950-z	2024-04-01	LDAGM: prediction lncRNA-disease asociations by graph convolutional auto-encoder and multilayer perceptron based on multi-view heterogeneous networks	nofou/ldagm
10.1186/s12859-024-05945-w	2024-03-30	Ribosomal computing: implementation of the computational method	
10.1186/s12859-024-05899-z	2024-03-28	Denoiseit: denoising gene expression data using rank based isolation trees	cobi-git/denoiseit
10.1186/s12859-024-05993-2	2024-03-28	Pheno-Ranker: a toolkit for comparison of phenotypic data stored in GA4GH standards and beyond	cnag-biomedical-informatics/pheno-ranker
10.1186/s12859-024-05853-z	2024-03-26	SimSpliceEvol2: alternative splicing-aware simulation of biological sequence evolution and transcript phylogenies	udes-cobius/simspliceevol
10.1186/s12859-024-05986-1	2024-03-25	Single-character insertiondeletion model preserves long indels in ancestral sequence reconstruction	acg-team/single-char-indel-asr-preserves-long-indels
10.1186/s12859-024-05937-w	2024-03-24	FindCSV: a long-read based method for detecting complex structural variations	nwpuzhengyan/findcsv
10.1186/s12859-024-05815-5	2024-03-22	Maboss for HPC environments: implementations of the continuous time Boolean model simulator for large CPU clusters and GPU accelerators	
10.1186/s12859-024-05816-4	2024-03-21	Modeling relaxation experiments with a mechanistic model of gene expression	
10.1186/s12859-025-06049-9	2024-03-19	BAC-browser: the tool for synthetic biology	glebf/bac-browser-v2
10.1186/s12859-024-05836-0	2024-03-19	CPMI: comprehensive neighborhood-based perturbed mutual information for identifying critical states of complex biological processes	r-j-06/cpmi
10.1186/s12859-025-06051-1	2024-03-18	A hybrid machine learning framework for functional annotation of mitochondrial glutathione transport and metabolism proteins in cancers	lkenn012/mgsh_cancerclassifiers
